,context,question,answerA,answerB,answerC,correct
5000,sydney was a wizard so she concentrated water into her hands to practice water magic.,Why did Sydney do this?,drink the water,improve her water magic skills,get a drink of water,B
5001,Remy asked Taylor the reason her bread rolls were turning out gummy.,What will happen to Taylor?,wonders what they're talking about,tell Remy to bake the rolls longer,ignore Remy's question,B
5002,Sasha works two jobs and is very tired at the end of the day.,What will Sasha want to do next?,be hired by two different jobs,go to work for a full day of work,take the weekend off to relax,C
5003,Alex wiped Remy's eye with a tissue because they were crying for hours.,How would Alex feel afterwards?,like they care,compassionate and courteous,like a bother,B
5004,Lee spilled soda everywhere. The day wasn't going very well at all.,How would Lee feel afterwards?,calm,agitated,having a bad day,B
5005,Bailey put away her clothes and cleaned up the room.,How would Bailey feel afterwards?,tidy next,lazy afterwards,messy afterwards,A
5006,Skylar entered the contest because the top prizes was a massive cash rewards which he really needed.,What will Skylar want to do next?,place low in the contest,win the contest,lose the contest,B
5007,Robin fought an enemy they had that would not let them leave.,What will happen to Robin?,buy a car,win the fight,rent a car,B
5008,Sasha made many friends at the summer camp.,How would Sasha feel afterwards?,Well-liked,isolated,Lonely,A
5009,Cameron came from nothing. His success was even sweeter because of it.,Why did Cameron do this?,be a failure,deserve it,tell his friends,B
5010,Austin was leaving the love of his life in San Francisco. Austin boarded the train.,How would Austin feel afterwards?,quite proud,devastated to leave,quite sad,B
5011,Kendall was so frustrated they decided to kill every ant in sight.,What would the others feel afterwards?,a mean person,a nasty person,like Kendall overreacted killing the ants,C
5012,Bailey was driving. They stopped in front of Riley.,How would you describe Bailey?,nervous,a hard worker,a drunkard,A
5013,Sydney left Austin's room. Sydney had ordered Austin to clean it before she came back.,What will Austin do next?,disobey Sydney,she will be mad,clean the room,C
5014,Tracy had to take the SATs on Saturday and spent the whole week studying.,Why did Tracy do this?,wanted to get into a good college,get books,study,A
5015,Jesse brought the act to a close at the end of the performance.,What does Jesse need to do before this?,go to the pool before this,quit school before this,begin the performance before this,C
5016,Lee fell asleep in the car while his friend was driving.,How would you describe Lee?,sleepy,awake,funny,A
5017,Bailey judged the lack of righteousness by that man and then realized he had misjudged him.,How would Bailey feel afterwards?,righteous afterwards,proud afterwards,regretful afterwards,C
5018,"Tracy has always wanted to take part in freedom fighting, she succeeded at took part.",What does Tracy need to do before this?,say goodbye to loved one,train with the enemies,join the fight,C
